,Player,Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,Shuttle,3Cone
0,Trey Adams,OL,203,318,5.6,24.5,,92,,
1,Hakeem Adeniji,OL,193,302,5.17,34,26,115,,
2,McTelvin Agim,DL,190,309,4.98,,27,,,
3,Salvon Ahmed,RB,180,197,4.62,34.5,,120,,
4,Brandon Aiyuk,WR,183,205,4.5,40,11,128,,
5,Cam Akers,RB,178,217,4.47,35.5,20,122,4.42,
6,Bradlee Anae,DL,190,257,4.93,31,25,115,4.43,7.44
7,Tremayne Anchrum,OL,188,314,5.21,24.5,26,104,,
8,Jet Anderson,RB,178,208,4.61,36,19,128,4.19,
9,Damon Arnette,CB,183,195,4.56,,,,,
10,Grayland Arnold,CB,175,186,4.59,33,12,120,4.3,7.01
11,Devin Asiasi,TE,190,257,4.73,30.5,16,115,,
12,Joe Bachie,LB,185,230,4.67,33.5,26,119,4.34,6.93
13,Markus Bailey,LB,183,235,,,15,,,
14,Trajan Bandy,CB,173,180,4.5,,10,,,
15,Ben Bartch,OL,198,309,,,,,,
16,Tyler Bass,K,178,185,,,,,,
17,Essang Bassey,CB,175,191,4.46,39.5,12,128,4.13,6.95
18,Zack Baun,LB,188,238,4.65,32.5,24,115,4.31,7
19,Omar Bayless,WR,185,212,4.62,36,11,123,4.5,7.35
20,Mekhi Becton,OL,200,364,5.1,,23,,,
21,LeVante Bellamy,RB,175,192,4.5,39.5,16,125,,
22,Eno Benjamin,RB,175,207,4.57,39,12,122,4.25,6.97
23,Francis Bernard,LB,183,234,4.81,32.5,19,120,,
24,Tyler Biadasz,OL,193,314,,,,,,
25,Daniel Bituli,LB,188,246,4.84,32,16,121,,
26,Ross Blacklock,DL,190,290,4.9,29,,107,4.67,7.77
27,Julian Blackmon,S,183,187,,,,,,
28,Rodrigo Blankenship,K,185,190,,,,,,
29,Lynn Bowden,WR,180,204,,,13,,,
30,Shaun Bradley,LB,185,235,4.51,32.5,14,121,4.24,7.07
31,Ben Bredeson,OL,195,315,,,,,,
32,Jacob Breeland,TE,195,252,,,,,,
33,Jordyn Brooks,LB,183,240,4.54,,,,,
34,Cameron Brown,LB,195,233,4.72,35.5,16,123,,
35,Derrick Brown,DL,195,326,5.16,27,28,108,4.79,8.22
36,Tony Brown,WR,185,198,4.65,33.5,14,119,4.27,7.21
37,Harrison Bryant,TE,195,243,4.73,32.5,13,110,4.37,7.41
38,Hunter Bryant,TE,188,248,4.74,32.5,23,115,4.46,7.08
39,Kelly Bryant,QB,190,229,4.69,35,,125,4.51,7.33
40,Myles Bryant,CB,173,183,4.62,31.5,,115,4.02,6.81
41,Terrell Burgess,S,180,202,4.46,33.5,20,122,,
42,Joe Burrow,QB,190,221,,,,,,
43,Cohl Cabral,OL,195,300,,,20,,,
44,Lawrence Cager,WR,195,220,,,,,,
